ds,yhat,yhat_lower,yhat_upper
1900-03-31,964.1500397550072,-163.3018864399617,2145.345640977902
1900-06-30,2411.040857811125,1301.993589545877,3505.3693672916584
1900-12-31,3434.973990849219,2274.1029392929236,4631.627664803999
1901-06-30,2313.216276766308,1117.1261144785522,3510.388930698981
1901-09-30,2720.465139737845,1521.7814570279136,3837.4738091817258
1901-12-31,2544.312181054487,1387.838871468655,3561.7285495915703
1902-06-30,2231.930001344295,1066.7102490500147,3339.8663766802906
1902-09-30,2218.173797950277,1144.25598503346,3340.0829426958703
1902-12-31,1659.2779928398381,504.6117032098323,2768.192704069989
1903-06-30,2166.860300128821,1041.763592712811,3268.4181079166005
1903-09-30,1709.1746984482206,549.9808385771669,2849.400444743204
1903-12-31,780.4277003031152,-312.349135040933,1901.3032935521792
1904-03-31,-609.4556698222141,-1737.593163457978,525.5587969205343
1904-06-30,837.4351483883896,-293.6862515293757,2034.861102224157
1904-09-30,1642.306630761463,588.7445270987585,2752.6354073394423
1904-12-31,1861.3682817129256,665.32945827129,2951.3957260754896
1905-03-31,-895.8904006034434,-2019.1670482606144,188.72123895451145
1905-06-30,739.6105678967994,-432.09252355301913,1782.9062191681023
1905-09-30,1146.8594310187186,-44.68959883922121,2300.9938038165005
1905-12-31,970.7064724655834,-69.45452925106581,2127.4951433944734
